,DRUGNAME,Train_size,Test_size,Accuracy,Precision,Recall,F1,AUCROC,AUCPR,Hidden_units,Learning_rate_ftrl,Learning_rate_adam,L1_regularization_strength,L2_regularization_strength
76,GSK269962A,188704,1332,0.7132132132132132,0.7265437048917401,0.9567053854276664,0.8258887876025524,0.6483810803768566,0.8249176432638584,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
77,GSK319347A,189634,402,0.2512437810945274,1.0,0.24937655860349128,0.3992015968063872,0.4389027431421446,0.9979582957041072,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
78,GSK429286A,189113,923,0.8981581798483207,0.9562575941676792,0.9313609467455621,0.9436450839328537,0.8109543316643908,0.974108054342448,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
79,GSK650394,189173,863,0.6280417149478563,0.624561403508772,1.0,0.7688984881209503,0.741999931696322,0.8295384992729826,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
80,GSK690693,189116,920,0.6543478260869565,0.9049429657794676,0.6397849462365591,0.7496062992125985,0.7422256842619745,0.9140604216720942,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
81,GW-2580,189114,922,0.7809110629067245,0.9930939226519337,0.7849344978165939,0.876829268292683,0.5527656477438136,0.9940585615446637,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
82,GW441756,189189,847,0.8417945690672963,0.928476821192053,0.8975672215108835,0.9127604166666667,0.5603926589842083,0.9334408166638548,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
83,GW843682X,189637,399,0.2506265664160401,0.2506265664160401,1.0,0.4008016032064128,0.7474916387959867,0.5044873497772417,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
84,Gefitinib,189190,846,0.7127659574468085,0.9369951534733441,0.7397959183673469,0.82679971489665,0.5832990454246215,0.9509234533371549,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
85,Gemcitabine,189170,866,0.5496535796766744,0.3060836501901141,0.8655913978494624,0.452247191011236,0.7853494623655914,0.5413841938330891,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
86,HG6-64-1,189160,876,0.4474885844748858,0.3576341127922971,0.9386281588447654,0.5179282868525896,0.7109080718164449,0.5460270655682817,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
87,I-BET-762,189118,918,0.7625272331154684,0.7518427518427518,0.9745222929936306,0.8488210818307904,0.770876345266857,0.8594996477481618,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
88,IOX2,189105,931,0.8592910848549946,0.9839901477832512,0.871319520174482,0.9242336610757663,0.5574076959027886,0.987245222132003,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
89,IPA-3,189166,870,0.4241379310344828,0.0,0.0,0.0,0.7351800464112426,0.7917069178530614,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
90,Idelalisib,189113,923,0.8884073672806068,0.8953880764904387,0.9875930521091811,0.9392330383480826,0.8086254798413607,0.9624295025360357,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
91,Imatinib,189630,406,0.9433497536945813,0.9693877551020408,0.9718670076726342,0.9706257982120051,0.8240409207161126,0.9892048415823549,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
92,Ispinesib Mesylate,189114,922,0.5477223427331888,0.5467391304347826,1.0,0.7069571328179902,0.8094155828750645,0.8237646970180328,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
93,JNK Inhibitor VIII,189189,847,0.8559622195985832,0.9904371584699454,0.8630952380952381,0.9223918575063613,0.5348639455782312,0.9940510442467335,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
94,JNK-9L,189156,880,0.17613636363636365,0.06330749354005168,1.0,0.11907654921020655,0.8167931432500798,0.19464599027697885,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
95,JQ1,188239,1797,0.6277128547579299,0.6522988505747126,0.8307410795974383,0.7307847082494969,0.6320756310820927,0.715042005546521,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
96,JW-7-52-1,189652,384,0.3203125,0.1861198738170347,0.9516129032258065,0.3113456464379947,0.6478661590863555,0.2638852603957061,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
97,KIN001-244,189117,919,0.6594124047878128,0.63572267920094,0.9944852941176471,0.7756272401433693,0.790764705882353,0.8263291413932614,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
98,KIN001-260,189117,919,0.8911860718171926,0.8925802879291251,0.9962917181705809,0.9415887850467288,0.8614226317563771,0.976792044290796,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
99,KIN001-266,189116,920,0.5576086956521739,0.5392491467576792,0.9957983193277311,0.6996309963099632,0.7996678401090166,0.7945407587019141,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
100,KIN001-270,189116,920,0.9717391304347827,0.9717391304347827,1.0,0.9856670341786108,0.8931767337807607,0.9963050090660887,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
101,KU-55933,189188,848,0.8903301886792453,0.9655629139072848,0.9158291457286433,0.9400386847195358,0.7971830305373019,0.977690847301499,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
102,LFM-A13,189166,870,0.7758620689655172,0.9882525697503671,0.7825581395348837,0.8734587929915638,0.5709302325581396,0.99179120515449,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
103,Lapatinib,189640,396,0.8585858585858586,0.9315068493150684,0.9164420485175202,0.9239130434782609,0.3314285714285714,0.9209903790711659,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
104,Lenalidomide,189186,850,0.9564705882352941,0.9914320685434517,0.9642857142857143,0.9776704888352444,0.8480952380952381,0.9976182489297216,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
105,Lestaurtinib,189187,849,0.20141342756183744,0.18899521531100477,1.0,0.317907444668008,0.8038707431900199,0.4774310967491585,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
106,Linifanib,189114,922,0.9718004338394793,0.9770240700218819,0.9944320712694877,0.9856512141280352,0.7684669636228657,0.9912478380891001,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
107,Linsitinib,189169,867,0.7993079584775087,0.8011560693641618,0.9971223021582734,0.8884615384615383,0.5983771122636774,0.8584944066655368,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
108,Luminespib,189175,861,0.6202090592334495,0.27058823529411763,0.8712121212121212,0.4129263913824057,0.8162489088415015,0.4637896440180134,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
109,MG-132,189636,400,0.6225,1.0,0.062111801242236024,0.11695906432748539,0.6504067153512305,0.6067766118087354,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
110,MK-2206,189211,825,0.5951515151515151,0.59254327563249,0.9408033826638478,0.7271241830065359,0.6453308187584086,0.68808159191714,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
