,Erlotinib,Lapatinib,Nilotinib,Nutlin-3a (-),PD0325901,PHA-665752,PLX-4720,Paclitaxel,Palbociclib,Selumetinib,Sorafenib,Tanespimycin
27,-0.00023049807,2.9423072e-05,0.0012367369,0.00037736233,0.00043087665,1.8313705e-05,0.00025753755,4.156411e-05,2.8111503e-05,-0.00014002509,0.003197955,-9.768665e-05
28,0.00356066,9.10103e-05,0.0009839142,-0.00033689503,-2.846689e-05,-7.43404e-05,-0.00064308546,-5.9559472e-05,-0.00017969859,-3.905588e-05,-0.003927179,9.441697e-06
29,0.0036893187,-0.0002282389,-0.0028254604,-0.0002915034,-6.2664576e-06,-4.1939544e-05,-0.000538405,-0.000267117,-1.8203483e-06,0.00019527145,-0.0006594411,-5.1877294e-05
30,0.0034982255,0.00032985292,-0.00082886155,-0.000266913,0.000106297586,6.3094885e-05,0.0006061766,9.8734585e-05,7.08525e-05,7.720888e-05,0.0010405148,8.6453714e-05
31,-0.0013565518,0.00046148986,-0.00082377245,0.00068448007,-0.0014533848,1.9045625e-05,0.0019517615,2.9115583e-05,-9.76244e-05,-3.9718143e-05,-0.00031976632,-0.00012608267
32,0.0022500474,-8.28287e-05,0.00029765064,0.0001288573,-9.952556e-05,1.538436e-05,0.00047283934,3.735625e-05,4.31868e-05,-1.0491906e-06,0.0005005688,9.1762666e-07
33,0.0017956875,-0.0001736151,0.00062039495,-0.00075813883,0.00026707732,4.898317e-05,0.0001568746,7.228408e-05,0.00010725644,0.0002717726,-0.003058888,0.00020023815
34,-0.0044984175,-1.46360535e-05,-0.001702022,-0.00035506504,-0.00013496111,-4.5553108e-05,0.0006935888,-0.000110274006,2.6960013e-05,2.5265002e-05,0.0034249872,-7.5988995e-05
35,-0.0074467324,-0.00065972033,-0.0019012993,0.0010236929,0.00028425918,6.494951e-05,-0.001164003,-0.00020957552,-0.00014820331,-0.0003626245,0.0019980238,-2.975905e-05
36,0.003297298,-0.0009938391,-0.0002506295,0.00097574736,0.0012404696,3.8941467e-05,-0.0027543947,2.2245611e-05,-9.007167e-05,-8.766144e-05,-0.0077378387,2.1102103e-05
37,0.00017698458,-0.00047909046,-0.0014944056,-0.0004654897,0.0004289725,6.377488e-05,0.0009216097,-0.000120896046,0.00012697632,0.00013528821,-0.0036411502,6.6650195e-05
38,-0.0053468836,-0.0010421711,-0.0012618414,-0.00089027936,0.00082688895,1.7029115e-05,0.0006231955,8.513846e-05,-0.00027857558,0.00020131697,0.0034159345,0.00012955992
39,-0.0041766455,-0.00032290598,0.0009197936,8.3418854e-05,-0.00014620241,1.9257162e-05,-0.0010628623,6.455986e-06,-1.1580096e-06,4.329167e-06,0.00027115585,-5.4134693e-05
40,-0.005510306,-1.4581639e-05,-0.001774588,-0.00074159214,-0.00066911645,5.609437e-05,-7.809924e-05,-2.1644212e-06,0.00017543511,-2.8733766e-05,0.0045644287,-7.228961e-05
41,0.008672179,0.0001909761,9.945165e-05,-0.00078910147,-0.0004103122,2.672741e-05,-0.00272198,-4.447187e-05,0.00018808173,5.208781e-05,-0.006388289,-6.5438776e-06
42,0.00054106175,-0.0011749204,0.0020817842,0.00069242076,-0.00013016179,8.652531e-05,0.00090323226,-5.978754e-05,0.00016633111,9.26714e-06,0.0053338395,8.058562e-06
43,0.0058166552,-0.0011848843,-0.003120621,-0.0011018583,0.0009945454,1.0345218e-05,0.001990792,-1.3899215e-05,-1.7727052e-05,-9.172905e-06,-0.002428058,8.640994e-06
44,-0.002986114,1.6561073e-05,-0.0023538747,-0.00057225645,0.0002736851,0.00014027048,0.00088806154,-0.00020367891,0.00029912795,4.4195644e-05,0.0007080222,8.991045e-05
45,0.004582576,-0.00041875834,-0.0020351843,0.00011898031,-0.00021075855,8.905797e-06,-7.8675876e-05,-4.2583873e-05,5.8374115e-07,-6.9842654e-06,-5.0788512e-05,-6.640446e-05
46,0.0008844284,0.00065399375,0.0021962197,1.1393828e-05,0.00025649584,4.924864e-05,0.00031665713,8.977242e-06,1.4267732e-05,-4.299622e-05,0.0006625072,5.4506323e-05
47,0.0047962475,-0.00040011038,0.003390544,-0.0021869254,0.00065972155,0.00022583076,0.00049077906,-1.1509059e-05,0.00022978222,0.0004242249,0.0051250462,0.0001189283
48,-0.0027740183,4.8884773e-05,2.062573e-05,-0.00016153543,-1.5444148e-05,6.3583e-05,-0.0006186826,1.8651343e-05,0.000120296456,3.1308555e-05,0.0015353268,8.498053e-05
49,0.008297776,-0.0007768921,0.00475265,-0.00019001828,0.0016256897,2.9457238e-05,-0.001097542,5.8200408e-06,3.5869496e-05,-5.462377e-05,-0.0061256364,4.8561524e-06
50,-0.00504346,5.765417e-05,-0.0026730604,-0.00077911944,0.0002528611,3.2388667e-05,-9.406552e-05,-5.107534e-05,-6.8943475e-05,3.8236558e-05,0.0008509662,-2.1716798e-05
51,0.0007640119,0.00024267158,-0.00020477251,-0.00027513987,0.00013391723,5.799221e-05,0.00035897613,0.000121335914,8.9470755e-05,1.6749247e-05,-0.0020434503,6.329728e-06
