,DRUGNAME,Train_size,Test_size,Accuracy,Precision,Recall,F1,AUCROC,AUCPR,ALPHA,L1_RATIO,ETA0
35,CCT-018159,189136,900,0.7444444444444445,0.7554285714285714,0.9763663220088626,0.8518041237113403,0.6513038928006041,0.8459750009130445,0.010196888209425372,0.43973347551563247,0.02181201561605224
36,CCT007093,189114,922,0.9924078091106291,0.9924078091106291,1.0,0.9961894393032117,0.5348946135831383,0.9938877452587561,0.010196888209425372,0.43973347551563247,0.02181201561605224
37,CGP-082996,189638,398,0.5251256281407035,0.9212121212121213,0.4634146341463415,0.6166328600405679,0.6892857142857143,0.9146704495882458,0.010196888209425372,0.43973347551563247,0.02181201561605224
38,CGP-60474,189638,398,0.23366834170854273,0.23366834170854273,1.0,0.3788187372708758,0.6370527057994007,0.3474812717922388,0.010196888209425372,0.43973347551563247,0.02181201561605224
39,CHIR-99021,188241,1795,0.7103064066852368,0.9409020217729394,0.7315598548972189,0.8231292517006802,0.6268856072105449,0.9482901408197657,0.010196888209425372,0.43973347551563247,0.02181201561605224
40,CI-1040,189195,841,0.5648038049940547,0.5568862275449101,0.8416289592760181,0.6702702702702702,0.6166093967951554,0.6241380858780545,0.010196888209425372,0.43973347551563247,0.02181201561605224
41,CMK,189638,398,0.6658291457286433,0.7051282051282052,0.842911877394636,0.7678883071553227,0.6501384344324188,0.7929175331206065,0.010196888209425372,0.43973347551563247,0.02181201561605224
42,CP466722,189113,923,0.4279523293607801,0.415929203539823,1.0,0.5875,0.7226457660741374,0.6239974919798317,0.010196888209425372,0.43973347551563247,0.02181201561605224
43,CP724714,189114,922,0.9360086767895879,0.9685746352413019,0.9653243847874721,0.9669467787114847,0.441115372323426,0.967101304401759,0.010196888209425372,0.43973347551563247,0.02181201561605224
44,CUDC-101,189133,903,0.13399778516057587,0.13399778516057587,1.0,0.23632812500000003,0.6740292955126714,0.2237771710128431,0.010196888209425372,0.43973347551563247,0.02181201561605224
45,CX-5461,189118,918,0.6405228758169934,0.6405228758169934,1.0,0.7808764940239044,0.7258451865594722,0.8010498545495272,0.010196888209425372,0.43973347551563247,0.02181201561605224
46,Cabozantinib,189116,920,0.8228260869565217,0.8228260869565217,1.0,0.9028026237328564,0.7200444116669773,0.9139248973910479,0.010196888209425372,0.43973347551563247,0.02181201561605224
47,Cetuximab,189159,877,0.8814139110604333,0.95079950799508,0.9235364396654719,0.9369696969696969,0.5255376344086021,0.9595878265045408,0.010196888209425372,0.43973347551563247,0.02181201561605224
48,Cisplatin,189186,850,0.6764705882352942,0.6764705882352942,1.0,0.8070175438596492,0.6594276679841897,0.7871705901807559,0.010196888209425372,0.43973347551563247,0.02181201561605224
49,Crizotinib,189631,405,0.8888888888888888,0.958904109589041,0.9210526315789473,0.9395973154362416,0.7911578947368422,0.980857245199537,0.010196888209425372,0.43973347551563247,0.02181201561605224
